Yil	ilKodu	ilAdi	Genel	Genel.Erkek	Genel.Kadin	OkurYazarDegil	OkurYazarDegil.Erkek	OkurYazarDegil.Kadin	OkulsuzOkurYazar	OkulsuzOkurYazar.Erkek	OkulsuzOkurYazar.Kadin	Ilkokul	Ilkokul.Erkek	Ilkokul.Kadin	Ilkogretim	Ilkogretim.Erkek	Ilkogretim.Kadin	Ortaokul	Ortaokul.Erkek	Ortaokul.Kadin	Lise	Lise.Erkek	Lise.Kadin	Lisans	Lisans.Erkek	Lisans.Kadin	Yuksek.Lisans	Yuksek.Lisans.Erkek	Yuksek.Lisans.Kadin	Doktora	Doktora.Erkek	Doktora.Kadin	Bilinmeyen	Bilinmeyen.Erkek	Bilinmeyen.Kadin
2019	50	  Nevşehir	233347	113877	119470	7005	652	6353	7723	1645	6078	57632	23005	34627	23641	12669	10972	44666	24931	19735	56020	31304	24716	31435	16774	14661	2530	1503	1027	683	397	286	2012	997	1015
2019	51	  Niğde	274987	136880	138107	9876	965	8911	9907	2311	7596	65757	27614	38143	30612	17657	12955	59527	33472	26055	60941	34425	26516	33702	17694	16008	2975	1788	1187	840	521	319	850	433	417
2019	52	  Ordu	605980	300833	305147	38056	6426	31630	44465	11406	33059	138025	65745	72280	52544	29464	23080	109515	61406	48109	136333	79480	56853	76710	41183	35527	5588	3306	2282	1049	645	404	3695	1772	1923
2019	53	  Rize	279114	138825	140289	10000	877	9123	13314	1756	11558	56190	24966	31224	24892	14420	10472	49668	26716	22952	76698	44021	32677	42702	22931	19771	3557	2039	1518	785	512	273	1308	587	721
2019	54	  Sakarya	790385	393124	397261	21527	2804	18723	21160	5207	15953	179266	70119	109147	73637	40571	33066	148255	81278	66977	214448	122209	92239	112497	59931	52566	10968	6416	4552	2354	1547	807	6273	3042	3231
2019	55	  Samsun	1052949	517502	535447	27336	4364	22972	69467	17949	51518	245610	108253	137357	97042	55111	41931	190119	103823	86296	238597	129977	108620	161635	85343	76292	13916	7799	6117	2911	1780	1131	6316	3103	3213
2019	56	  Siirt	216459	110917	105542	18769	2746	16023	16511	4328	12183	23621	10014	13607	17750	10441	7309	64675	35620	29055	45149	28606	16543	26647	17102	9545	1770	1321	449	399	296	103	1168	443	725
2019	57	  Sinop	180007	89300	90707	7703	1428	6275	10699	3121	7578	51930	23154	28776	18953	10548	8405	29218	16685	12533	34752	19480	15272	22996	12827	10169	1643	954	689	470	271	199	1643	832	811
2019	58	  Sivas	502534	249691	252843	27629	3703	23926	22550	6579	15971	102653	42613	60040	41850	22346	19504	96255	54047	42208	127131	73831	53300	70385	39071	31314	6581	3905	2676	1637	999	638	5863	2597	3266
2019	59	  Tekirdağ	824100	424051	400049	12330	2017	10313	23461	6100	17361	172234	69474	102760	98200	53955	44245	164090	91111	72979	216812	128777	88035	120521	63812	56709	10047	5603	4444	1668	992	676	4737	2210	2527
2019	60	  Tokat	487581	240646	246935	14539	2478	12061	38461	10936	27525	119327	47794	71533	48302	26268	22034	90953	50907	40046	104576	61046	43530	63228	36419	26809	5272	3272	2000	1193	764	429	1730	762	968
2019	61	  Trabzon	641004	314804	326200	27334	3011	24323	31911	6701	25210	123266	51821	71445	46381	26736	19645	103216	56912	46304	182134	100878	81256	108687	58812	49875	9965	5656	4309	2665	1677	988	5445	2600	2845
2019	62	  Tunceli	71981	39463	32518	4629	739	3890	2909	794	2115	11786	5728	6058	5055	2888	2167	10729	6662	4067	20974	13332	7642	13815	8132	5683	943	536	407	220	145	75	921	507	414
2019	63	  Şanlıurfa	1247718	622120	625598	118774	15435	103339	127927	32730	95197	172831	81654	91177	117030	79093	37937	367904	205955	161949	205699	126718	78981	115990	69164	46826	9091	6283	2808	1350	945	405	11122	4143	6979
2019	64	  Uşak	294274	144720	149554	6217	807	5410	14008	3094	10914	71492	29442	42050	36604	20224	16380	51532	28504	23028	68524	37779	30745	39409	21254	18155	3318	1933	1385	805	505	300	2365	1178	1187
2019	65	  Van	745755	378330	367425	53945	8139	45806	79465	19982	59483	106689	46878	59811	70750	46072	24678	206108	118927	87181	138583	84453	54130	78223	47030	31193	6884	4866	2018	1368	971	397	3740	1012	2728
2019	66	  Yozgat	326685	161747	164938	14629	2223	12406	17058	5430	11628	84389	33707	50682	28574	14997	13577	61269	34245	27024	73850	44746	29104	36582	20966	15616	2855	1872	983	642	400	242	6837	3161	3676
2019	67	  Zonguldak	486782	239710	247072	26418	2963	23455	18797	3781	15016	120072	49313	70759	49892	30348	19544	77824	42726	35098	121267	72073	49194	63295	33699	29596	5292	2873	2419	1115	642	473	2810	1292	1518
2019	68	  Aksaray	302658	148596	154062	13555	1494	12061	11826	3366	8460	70646	28750	41896	34569	19144	15425	66706	36828	29878	61902	35482	26420	34773	18589	16184	3372	2132	1240	735	459	276	4574	2352	2222
2019	69	  Bayburt	67553	34211	33342	3109	315	2794	2639	722	1917	12596	4962	7634	6232	3121	3111	12371	7194	5177	19790	11186	8604	8986	5620	3366	787	505	282	277	203	74	766	383	383
2019	70	  Karaman	195449	96969	98480	4513	684	3829	6138	1791	4347	48061	19467	28594	24181	12985	11196	38559	20985	17574	42453	23393	19060	26840	14951	11889	2211	1370	841	487	316	171	2006	1027	979
2019	71	  Kırıkkale	224589	111876	112713	7696	775	6921	7311	1503	5808	42154	14263	27891	18420	8894	9526	41672	22369	19303	70476	42305	28171	32537	19119	13418	2962	1909	1053	507	363	144	854	376	478
2019	72	  Batman	401092	200454	200638	25777	3947	21830	26275	6210	20065	42425	16337	26088	39508	22292	17216	113284	61800	51484	94086	54452	39634	52104	30930	21174	3989	2946	1043	471	337	134	3173	1203	1970
2019	73	  Şırnak	334581	177726	156855	25736	3801	21935	23414	6208	17206	31444	15575	15869	21672	12232	9440	112974	63498	49476	74598	47589	27009	37319	24977	12342	1965	1521	444	218	162	56	5241	2163	3078
2019	74	  Bartın	164330	80413	83917	7079	1368	5711	10491	2133	8358	39888	17491	22397	21449	12630	8819	27268	14320	12948	35724	20079	15645	19156	10543	8613	1628	980	648	410	270	140	1237	599	638
2019	75	  Ardahan	76429	40011	36418	4955	711	4244	3304	1132	2172	17357	7688	9669	7368	4297	3071	16452	9727	6725	16340	10370	5970	8885	5131	3754	753	506	247	195	131	64	820	318	502
2019	76	  Iğdır	139221	71553	67668	10800	1653	9147	10514	3925	6589	20531	10979	9552	14502	8488	6014	34077	20106	13971	27923	15409	12514	17283	9130	8153	1265	790	475	277	198	79	2049	875	1174
2019	77	  Yalova	198251	98635	99616	3946	538	3408	5256	1218	4038	39253	15136	24117	16022	8817	7205	36589	19806	16783	54896	30179	24717	35339	19202	16137	3443	1941	1502	585	408	177	2922	1390	1532
2019	78	  Karabük	200335	98308	102027	9271	1233	8038	7115	1566	5549	42918	17660	25258	18379	9613	8766	30010	16734	13276	55465	31541	23924	33110	17612	15498	2771	1589	1182	742	530	212	554	230	324
2019	79	  Kilis	100635	50839	49796	3710	719	2991	4103	1251	2852	13706	6207	7499	13008	6626	6382	26954	14506	12448	23051	12303	10748	13335	7689	5646	986	650	336	223	150	73	1559	738	821
2019	80	  Osmaniye	395054	198367	196687	20499	2998	17501	12410	3540	8870	69779	27015	42764	37753	22068	15685	85270	47223	38047	101548	57741	43807	59210	32979	26231	4063	2602	1461	500	312	188	4022	1889	2133
2019	81	  Düzce	306298	152446	153852	9434	1237	8197	12216	2570	9646	65945	26620	39325	35100	20085	15015	53776	28975	24801	79532	46050	33482	43570	23184	20386	3828	2167	1661	906	591	315	1991	967	1024
