Yil	ilKodu	ilAdi	Genel	Genel.Erkek	Genel.Kadin	OkurYazarDegil	OkurYazarDegil.Erkek	OkurYazarDegil.Kadin	OkulsuzOkurYazar	OkulsuzOkurYazar.Erkek	OkulsuzOkurYazar.Kadin	Ilkokul	Ilkokul.Erkek	Ilkokul.Kadin	Ilkogretim	Ilkogretim.Erkek	Ilkogretim.Kadin	Ortaokul	Ortaokul.Erkek	Ortaokul.Kadin	Lise	Lise.Erkek	Lise.Kadin	Lisans	Lisans.Erkek	Lisans.Kadin	Yuksek.Lisans	Yuksek.Lisans.Erkek	Yuksek.Lisans.Kadin	Doktora	Doktora.Erkek	Doktora.Kadin	Bilinmeyen	Bilinmeyen.Erkek	Bilinmeyen.Kadin
2011	37	  Kastamonu	291026	142538	148488	30051	6067	23984	23560	8125	15435	100335	45404	54931	50561	26980	23581	12373	8989	3384	48292	31239	17053	20445	12704	7741	988	614	374	266	164	102	4155	2252	1903
2011	57	  Sinop	163282	80251	83031	11618	2669	8949	14691	5201	9490	57859	26519	31340	30533	16589	13944	6720	4599	2121	25378	14859	10519	12872	7847	5025	491	296	195	147	90	57	2973	1582	1391
2011	67	  Zonguldak	485570	237243	248327	37586	5339	32247	24697	6833	17864	150272	62676	87596	94223	55851	38372	23659	14895	8764	102990	62257	40733	39104	22653	16451	1957	1165	792	585	361	224	10497	5213	5284
2011	74	  Bartın	150458	73026	77432	11634	2492	9142	12518	3499	9019	47637	20976	26661	34670	19365	15305	5234	3392	1842	23389	14320	9069	10700	6529	4171	521	352	169	148	104	44	4007	1997	2010
2011	78	  Karabük	177605	88798	88807	13522	2361	11161	9473	2886	6587	51686	21663	30023	33153	18335	14818	9645	6462	3183	38863	24090	14773	17149	10712	6437	849	574	275	280	210	70	2985	1505	1480
2011	81	  Düzce	261644	129340	132304	14892	2320	12572	14785	4377	10408	80242	34295	45947	57861	32113	25748	11146	7163	3983	54743	32764	21979	20231	12260	7971	1034	673	361	370	249	121	6340	3126	3214
2012	14	  Bolu	226874	112053	114821	11337	1946	9391	11179	3837	7342	70581	29338	41243	40595	21652	18943	9644	6577	3067	54144	31752	22392	23147	13606	9541	1260	764	496	545	334	211	4442	2247	2195
2012	18	  Çankırı	147687	73596	74091	9905	1779	8126	9077	2962	6115	47173	19807	27366	27971	14979	12992	7917	5529	2388	31337	19525	11812	11392	7382	4010	659	439	220	175	127	48	2081	1067	1014
2012	37	  Kastamonu	291946	142712	149234	28032	5557	22475	23518	7777	15741	99481	44852	54629	51061	27381	23680	12345	8950	3395	50381	31915	18466	21945	13434	8511	1040	643	397	267	164	103	3876	2039	1837
2012	57	  Sinop	162838	79852	82986	10519	2333	8186	14738	5026	9712	57099	25989	31110	30948	16825	14123	6684	4567	2117	25691	14954	10737	13641	8261	5380	527	307	220	150	93	57	2841	1497	1344
2012	67	  Zonguldak	483047	235914	247133	35883	4971	30912	24390	6604	17786	147446	61074	86372	96191	56994	39197	23379	14749	8630	102716	61970	40746	40913	23296	17617	2003	1188	815	573	346	227	9553	4722	4831
2012	74	  Bartın	152415	74405	78010	10176	2266	7910	13203	3451	9752	47038	20573	26465	36040	20374	15666	5251	3406	1845	24774	15030	9744	11485	6931	4554	568	390	178	153	111	42	3727	1873	1854
2012	78	  Karabük	183743	92562	91181	12825	2153	10672	9255	2711	6544	51180	21424	29756	34201	19068	15133	9694	6509	3185	43168	26440	16728	19496	12088	7408	870	579	291	302	224	78	2752	1366	1386
2012	81	  Düzce	266558	132501	134057	13088	2108	10980	15930	4403	11527	79070	33505	45565	61738	34535	27203	11148	7171	3977	55583	33436	22147	22594	13405	9189	1082	706	376	380	249	131	5945	2983	2962
2013	14	  Bolu	228965	112668	116297	10878	1827	9051	10918	3607	7311	70238	28990	41248	41057	21549	19508	9641	6560	3081	53208	31509	21699	25937	14834	11103	1920	1126	794	697	434	263	4471	2232	2239
2013	18	  Çankırı	154032	76680	77352	9672	1698	7974	9237	2994	6243	48850	20447	28403	29784	16019	13765	8294	5787	2507	30859	19131	11728	13875	8643	5232	890	596	294	221	158	63	2350	1207	1143
2013	37	  Kastamonu	300921	148583	152338	25870	4926	20944	24712	7882	16830	101077	45561	55516	52465	28282	24183	12457	9023	3434	50051	31798	18253	28351	17757	10594	1596	1025	571	371	230	141	3971	2099	1872
2013	57	  Sinop	166348	81753	84595	10036	2198	7838	14868	5005	9863	57650	26140	31510	31777	17409	14368	6755	4609	2146	25395	14869	10526	15944	9415	6529	703	425	278	218	117	101	3002	1566	1436
2013	67	  Zonguldak	480965	234851	246114	34301	4650	29651	23920	6291	17629	144648	59584	85064	94819	56112	38707	22955	14476	8479	101568	61647	39921	45896	25405	20491	2700	1578	1122	767	458	309	9391	4650	4741
2013	74	  Bartın	153667	75201	78466	9636	2127	7509	12989	3310	9679	46645	20285	26360	36425	20686	15739	5225	3406	1819	24736	15032	9704	13368	7849	5519	791	521	270	194	138	56	3658	1847	1811
2013	78	  Karabük	189125	95951	93174	12362	2027	10335	9557	3064	6493	50686	21035	29651	35006	19885	15121	9654	6478	3176	45875	28059	17816	21341	12732	8609	1406	925	481	439	323	116	2799	1423	1376
2013	81	  Düzce	271394	135215	136179	12530	1997	10533	15736	4217	11519	78035	32745	45290	62906	35167	27739	11135	7161	3974	57315	34984	22331	25816	14674	11142	1570	985	585	527	353	174	5824	2932	2892
2014	14	  Bolu	229370	111924	117446	10604	1705	8899	10607	3363	7244	69354	28384	40970	35331	17978	17353	16263	10031	6232	53972	31692	22280	28371	16134	12237	2029	1206	823	728	452	276	2111	979	1132
2014	18	  Çankırı	148650	73943	74707	9259	1566	7693	8748	2758	5990	46530	19393	27137	24504	13062	11442	12375	8106	4269	29948	18479	11469	14814	9149	5665	968	636	332	239	162	77	1265	632	633
2014	37	  Kastamonu	302336	149104	153232	24828	4617	20211	23658	7278	16380	99028	44539	54489	46114	24617	21497	21034	13568	7466	52267	32678	19589	31241	19464	11777	1739	1113	626	393	244	149	2034	986	1048
2014	57	  Sinop	167308	82356	84952	9844	2080	7764	14147	4693	9454	57338	26017	31321	27798	15285	12513	11781	7361	4420	26173	15351	10822	17525	10129	7396	776	466	310	249	142	107	1677	832	845
2014	67	  Zonguldak	480347	235035	245312	33524	4437	29087	23059	5845	17214	141782	58414	83368	81900	48286	33614	38015	23113	14902	104406	63590	40816	49752	27274	22478	2759	1614	1145	784	464	320	4366	1998	2368
2014	74	  Bartın	154305	75021	79284	9372	2005	7367	12555	3081	9474	46102	20093	26009	33579	18942	14637	9655	5866	3789	25543	14939	10604	14518	8505	6013	876	562	314	222	150	72	1883	878	1005
2014	78	  Karabük	190065	96079	93986	12030	1898	10132	9029	2621	6408	49712	20593	29119	29607	16604	13003	15653	9817	5836	47370	28861	18509	23385	13775	9610	1496	964	532	477	346	131	1306	600	706
2014	81	  Düzce	275623	137620	138003	12237	1897	10340	15314	4019	11295	76621	32135	44486	56248	31532	24716	21195	12614	8581	60015	36336	23679	28862	16259	12603	1664	1029	635	549	375	174	2918	1424	1494
2015	14	  Bolu	234680	115503	119177	10204	1612	8592	10192	3147	7045	69247	28321	40926	31627	16430	15197	20317	12291	8026	57119	33400	23719	31687	17863	13824	2131	1248	883	798	495	303	1358	696	662
2015	18	  Çankırı	145765	72266	73499	8682	1434	7248	8052	2403	5649	44824	18550	26274	20862	11026	9836	14651	9256	5395	30565	18415	12150	15939	9865	6074	1031	687	344	252	170	82	907	460	447
2015	37	  Kastamonu	303772	148563	155209	23221	4199	19022	22926	6726	16200	99170	44531	54639	40818	21937	18881	25834	16222	9612	56263	34297	21966	31715	18509	13206	1804	1085	719	452	282	170	1569	775	794
2015	57	  Sinop	166586	81947	84639	9418	1938	7480	13234	4277	8957	56726	25627	31099	24212	13415	10797	14163	8603	5560	27018	15626	11392	19350	11094	8256	851	522	329	282	166	116	1332	679	653
2015	67	  Zonguldak	479275	234812	244463	32590	4206	28384	22199	5330	16869	140976	58154	82822	71061	42556	28505	46474	27786	18688	105691	63988	41703	54304	29582	24722	3088	1784	1304	862	511	351	2030	915	1115
